stop_name
Jalan Karang Menjangan 27
Jalan Karang Menjangan 75
Jalan Airlangga 35
Halte Lapangan Hockey
Universitas Airlangga Kampus A
Jalan Kedung Sroko 56
Jalan Pacar Keling 15c
Jalan Ambengan 54
Jalan Kusuma Bangsa 23
Jalan Kusuma Bangsa 63 B
Jalan Kapasari 39
Jalan Bunguran 52a
Pengampon I 2
Jalan Stasiun Kota 62
Halte Tugu Pahlawan
Halte Pasar Turi
Halte Masjid Kemayoran
Jalan Indrapura 23
Gereja Pantekosta A
Jalan Gresik Gadukan Timur 45
Jalan Demak 372
Jalan Demak 262
Jalan Dupak Rukun 1
