stop_name
Jalan Raya Sido Mulyo 237
Jalan Menganti Lidah Wetan 151
Jalan Menganti Lidah Wetan 26
Jalan Menganti Lidah Wetan 6
Jalan Menganti Lidah Wetan 23
Jalan Raya Wiyung
Jalan Raya Wiyung 47
Jalan Raya Menganti Wiyung 424
Jalan Raya Wiyung 63
Jalan Raya Menganti Wiyung 19
Jalan Raya Wiyung 13
Jalan Raya Mastrip 185-F
Jalan Gunung Sari
Jalan Gunung Sari
Jalan Gunung Sari 172
Jalan Gunung Sari 82
Jalan Gunung Sari 52
Jalan Gunung Sari 22
Jalan Gunung Sari 1
Halte Joyoboyo 1
