stop_name
Jalan Gunung Sari 1
Jalan Raya Malang - Surabaya 86
Kbs
Jalan Dokter Soetomo 91
Giant Ekstra Diponegoro
Seberang Masjid Ianatut Tholibin
Simo Katrungan Kidul A
Pos Paud Terpadu
"Jalan Simo Katerungan, 59"
"Jalan Petemon Barat, 195"
Jalan Petemon Barat 5
"Jalan Petemon Kali, 41"
"Jalan Patua, 19"
"Jalan Argopuro, 59"
"Jalan Raya Arjuno, 8"
Jalan Kalibutuh 89
"Jalan Demak, 69"
Jalan Demak 149
Jalan Demak 167
Jalan Demak 287
Jalan Demak 381
Jalan Demak 372
"Jalan Purwodadi Ii, 121"
"Jalan Lasem, 1a"
