name,communityId
"""Halte Yono Suwoyo 2""",2
"""Graha Family Barat""",2
"""Pasar Modern Darmo Permai 2""",2
"""Halte Graha Family""",9
"""Bundaran Unesa""",9
"""Taman Pelangi""",17
"""Rs Bhayangkara""",17
"""Ubhara""",17
"""Pusvetma""",17
"""Pondok Rosan 2""",17
"""Taman Mozaik 2""",17
"""Kecamatan Wiyung 2""",17
"""Keramat""",17
"""Gemol 2""",17
"""Gogor 2""",17
"""Mastrip 2""",17
"""Pasar Ikan 2""",17
"""Rusun Gunung Sari 2""",17
"""Marmoyo""",17
"""Darmo""",17
"""Halte Galaxy 1""",36
"""Halte Unair 1""",36
"""Jembatan Merah""",36
"""Veteran""",36
"""Halte Tugu Pahlawan""",36
"""Halte Alun Alun Contong""",36
"""Halte Siola""",36
"""Halte Tunjungan""",36
"""Halte Basuki Rahmat""",36
"""Halte Kaliasin""",36
"""Halte Embong Malang""",36
"""Halte Blauran""",36
"""Halte Rajawali""",36
"""Manyar Kerta Adi""",36
"""Halte Klampis""",36
"""Halte Manyar Sabrangan""",36
"""Halte Kertajaya 2""",36
"""Gubeng Airlangga""",36
"""Sman 4 Surabaya""",36
"""Kaliasin (Halte Timur)""",36
"""Simpang Dukuh""",36
"""Halte Koni Merr""",36
"""Rumah Sakit Darmo""",41
"""Gozco""",41
"""Halte Pandegiling 1""",41
"""Halte Bengawan 1""",41
"""Urip Sumoharjo 1""",43
"""Halte Masjid Kemayoran""",43
"""Halte Indrapura""",43
"""Kejawan Putih Tambak""",43
"""Pens 2""",43
"""Halte Its""",43
"""Halte Rsud Dr Soetomo""",43
"""Halte Unair B""",43
"""Halte Kertajaya 1""",43
"""Halte Samsat Manyar""",43
"""Halte Koni 1""",43
"""Halte Kertajaya Indah""",43
"""Its 1""",43
"""Pens 1""",43
"""Halte Semolowaru 1""",43
"""Halte Itats""",43
"""Park & Ride A.R Hakim""",43
"""Halte Smpn 19""",43
"""Halte Rs Haji 1""",43
"""Halte Rsia 2""",43
"""Halte Kalijudan 2""",43
"""Halte Mulyorejo 2""",43
"""Halte Unair 2""",43
"""Halte Galaxy 2""",43
"""Halte Margorejo""",64
"""Halte Wonocolo""",64
"""Halte Uin""",64
"""Halte Jemur Ngawinan""",64
"""Siwalankerto 2""",64
"""Kerto Menanggal""",64
"""Teminal Purabaya""",64
"""Babatan 2""",64
"""Griya Babatan Mukti 2""",64
"""Dukuh Menanggal""",67
"""Siwalankerto 1""",67
"""Dukuh Karangan""",67
"""Museum Bi""",81
"""Halte Putat Gede 1""",81
"""Halte Taman Makam Pahlawan 1""",81
"""Park & Ride Mayjend Sungkono""",81
"""Halte Darmo Park 1""",81
"""Halte Gedung Juang""",81
"""Indragiri""",81
"""Halte Adityawarman""",81
"""Halte Kutai 1""",81
"""Royal Plaza""",96
"""Halte Joyoboyo 2""",96
"""Halte Rsal""",96
"""Halte Mulyorejo 1""",100
"""Halte Kalijudan 1""",100
"""Halte Rsia 1""",100
"""Halte Kenjeran""",100
"""Halte Kenpark""",100
"""Halte Superindo""",100
"""Halte Pandegiling 2""",100
"""Terminal Intermoda Joyoboyo""",100
"""Pirngadi""",100
"""Halte Pasar Turi""",100
"""Halte Pemuda""",100
"""Halte Panglima Sudirman""",100
"""Halte Sono Kembang""",100
"""Urip Sumoharjo 2""",100
"""Villa Bukit Mas 2""",100
"""Smpn 28 2""",100
"""Spbu Lidah Wetan""",100
"""Gubernur Suryo""",100
"""Halte Balai Kota""",100
"""Halte Grand City""",100
"""Halte Moestopo""",100
"""Rusun Gunung Sari 1""",100
"""Pasar Ikan 1""",100
"""Mastrip 1""",100
"""Gogor 1""",100
"""Gemol 1""",100
"""Universitas Wijaya Putra""",100
"""Halte Gunung Anyar Timur 1""",100
"""Halte Gunung Anyar Lor 1""",100
"""Halte Rungkut Madya 1""",100
"""Halte Pandugo 1""",100
"""Halte Sentra Ukm Merr A""",100
"""Halte Rs Haji 2""",151
"""Halte Kopertis""",151
"""Halte Univ. Katolik Darma Cendekia""",151
"""Halte Semolowaru 2""",151
"""Halte Semampir B""",151
"""Halte Stikom (Dinamika)""",151
"""Halte Pandugo 2""",151
"""Halte Penjaringan Asri""",151
"""Halte Rungkut Madya 2""",151
"""Halte Gunung Anyar Lor 2""",151
"""Halte Gunung Anyar Timur 2""",151
"""Halte Santa Maria""",161
"""Halte Bengawan 2""",161
"""Halte Kutai 2""",161
"""Halte Kpu""",161
"""Halte Gedung Juang 2""",161
"""Halte Darmo Park 2""",161
"""Halte Taman Makam Pahlawan""",161
"""Smpn 28 1""",161
"""Villa Bukit Mas 1""",161
"""Babatan 1""",161
"""Halte Unesa""",161
"""Bukit Darmo Boulevard""",161
"""Halte PTC""",161
"""Kecamatan Wiyung 1""",161
"""Taman Mozaik 1""",161
"""Pondok Rosan 1""",161
"""Graha Sampoerna Indah""",161
"""Griya Babatan Mukti 1""",161
"""Halte Putat Gede 2""",164
"""Halte Pradah Kali Kendal""",164
"""Halte Patung Kuda 2""",164
"""Halte Yono Suwoyo 1""",164
"""Halte Patung Kuda 1""",164
"""Halte Darmo Permai 1""",164
"""Terminal Osowilangun""",164
"""Margomulyo 2""",164
"""Samsat Tandes 2""",164
"""Pasar Modern Darmo Permai 1""",164
"""Samsat Tandes 1""",164
"""Margomulyo 1""",164
